5437	Italy; a modern history.	Mack Smith, Denis,1920-2017.		University of Michigan Press		583	DG467 .M3 1969
5079	Humanity and modern sociological thought	Cuzzort, R. P.1926-1999.(Raymond Paul),		Holt, Rinehart, and Winston		361	HM19 .C84
6779	The unperfect society: beyond the new class	Djilas, Milovan,1911-1995.		Harcourt, Brace &amp; World		278	HX44 .D46
2709	Behavioralism in political science /	Eulau, Heinz,1915-2004.		Atherton Press,		169	JA74 .E882
5495	Alfred Deller : a singularity of voice /	Hardwick, Michael,1924-1991,		F.A. Praeger,		215	ML420.D44 H4 1969
4511	Speech in the classroom	Ecroyd, Donald H.		Prentice-Hall		191	PN4121 .E3 1969
1047	The French novel from eighteen hundred to the present /	Engler, Winfried.		Frederick Ungar Publishing Co.,		297	PQ631 .E5213 1969
3841	Mark Twain's Hannibal, Huck &amp; Tom /	Twain, Mark,1835-1910.		University of Calif. Press,		511	PS1302 .B49
648	Dimensions of the modern novel : German texts and European contexts /	Ziolkowski, Theodore,		Princeton University Press,		389	PT772 .Z5
11690	An intuitive approach to elementary geometry /	Stubblefield, Beauregard,1923-		Brooks/Cole Pub. Co.,		265	QA445 .S83
2593	Attitude change; a critical analysis of theoretical approaches	Kiesler, Charles A.,1934-2002.		Wiley		398	BF323.C5 K5
5017	Approaches to thought.			C.E. Merrill Pub. Co.		349	BF455 .A6 1969
10276	All believers are brothers.	Gammon, Roland.		Doubleday,		356	BJ1548 .G3
5932	History, the last things before the last.	Kracauer, Siegfried,1889-1966.		Oxford University Press,		281	D16 .K87 1969
4015	Sport, culture, and society : a reader on the sociology of sport /			Macmillan Publishing Co., Inc. ;		476	GV706 .L6
810	Statistical methods for business decisions	Clark, Charles Tallifero.		South-western Pub. Co.		957	HA29 .C59
5837	Interpersonal attraction	Berscheid, Ellen.		Addison-Wesley		141	HM132 .B47
7715	Tension in the cities; three programs for survival	Bayton, James A.1912-1990.(James Arthur),		Chilton Book Co.		282	HN59 .B3
5474	Marriage; an examination of the man-woman relationship	Lantz, Herman R.,		Wiley		524	HQ728 .L39 1969
11626	Dissent in the Supreme Court : a chronology /	Jackson, Percival E.,1891-1970.		University of Oklahoma Press,		595	KF8748 .J27
11711	Modern studies in English : readings in transformational grammar /			Prentice-Hall,		493	PE1106 .R4
5526	Lillian Gish : the movies, Mr. Griffith, and me /	Gish, Lillian,1893-1993,		Prentice-Hall, Inc.,		462	PN2287.G55 A3
4159	Nineteenth-century French romantic poets /	Denommé, Robert Thomas.		Southern Illinois University Press		188	PQ434 .D4
3024	Henry the Fourth. an Authorized Text, Cultural Contexts, Extracts from the Major Sources, Essays in Criticism, Bibliography /	Shakespeare, William,1564-1616,		W.W. Norton &amp; Company Inc.,		425	PR2810.A2 S3 1969
6324	Negro playwrights in the American theatre, 1925-1959 /	Abramson, Doris E.		Columbia University Press,		347	PS351 .A2
5894	The poet and her book : a biography of Edna St. Vincent Millay /	Gould, Jean,1909-1993.		Dodd, Mead &amp; Company,		320	PS3525.I495 Z64
178	Red and black : a new translation, backgrounds and sources, criticism /	Stendhal,1783-1842.		W.W. Norton &amp; Company,		584	PQ2435 .R43
4270	Egypt and Cromer; a study in Anglo-Egyptian relations.	Sayyid-Marsot, Afaf Lutfi.		Praeger		249	DT107.6 .S37 1969
7349	Rights in conflict; Chicago's 7 brutal days.	Walker, Daniel,1922-2015.		Grosset &amp; Dunlap		246	F548.42 .W3 1968
4662	Decision theory and information systems; an introduction to management decision making	Greenwood, William T.		South-western Pub. Co.		831	HD69.D4 G67
6471	Interpersonal communication in the modern organization			Prentice-Hall		328	HF5549.5.C6 I57
3821	The children of the dream.	Bettelheim, Bruno,		Macmillan,		376	HQ792.P3 B47
10809	The life and legal writings of Hugo Grotius.	Dumbauld, Edward,1905-1997.		University of Oklahoma Press		219	K.G76 D8
4836	Union and liberty: a documentary history of American constitutionalism	Dewey, Donald O.1930-(Donald Odell),		McGraw-Hill		341	KF4541.A7 D4
6462	Issues and advances in educational psychology : a book of readings /			F.E. Peacock		540	LB1055 .T63
1891	Seventeenth century French literature: poetry, theater, novel : a critical anthology /			McGraw-Hill		415	PQ1126 .E8
6440	Walking to sleep : new poems and translations /	Wilbur, Richard,1921-2017,		Harcourt Brace Jovanovich, Inc.,		92	PS3545.I32165 W3
10988	Historicism once more; problems &amp; occasions for the American scholar.	Pearce, Roy Harvey.		Princeton University Press,		370	PS88 .P37
7442	The history of the abacus /	Pullan, J. M.		F.A. Praeger,		140	QA75 .P8 1969
11054	Lectures in medical psychology; an introduction to the care of patients	Bibring, Grete L.1899-1977,(Grete Lehner),		International Universities Press		303	BF173 .B47
4528	Fear of failure	Birney, Robert C.,1925-		Van Nostrand-Reinhold Co.		294	BF575.F14 B5
6814	A history of Germany, 1815-1945 /	Carr, William,1921-1991.		St. Martin's Press,		476	DD232 .C35 1969
10847	Freedom in jeopardy : the tyranny of idealism /	Van Sickle, John V.1892-1975.(John Valentine),		World Pub. Co.,		218	HC106 .V35 1969
6415	Cases, readings, and review guide for Principles of management.	Luthans, Fred,		Wiley		221	HD31 .L85
6156	Successful advertising management.	Obermeyer, Henry.		McGraw-Hill,		255	HF5823 .O22
9907	Urban structure; the social and spatial character of cities.	Thomlinson, Ralph.		Random House		349	HT151 .T48
10880	The acoustical foundations of music /	Backus, John.		W.W. Norton,		326	ML3805.B245 A3
1345	The continuity of music : a history of influence /	Kolodin, Irving,1908-1988,		A.A. Knopf,		380	MT6.K795 C7
9033	Early doors : my life and the theatre /	Burton, Philip,1904-1995.		Dial Press,		252	PN2598 .B792
1873	Development of American journalism /	Kobre, Sidney,1907-1995.		W.C. Brown Co.		781	PN4855 .K585
5853	Hadrian VII : a play /	Luke, Peter.		A. Knopf,		138	PR6062.U4 H3 1969
625	Cancer ward /	Solzhenit︠s︡yn, Aleksandr Isaevich,1918-2008.		Farrar, Straus and Giroux,		574	PG3488.O4 C3
749	The Japan Expedition, 1852-1854 : the personal journal of Commodore Matthew C. Perry /	Perry, Matthew Calbraith,1794-1858.		Smithsonian Institution Press,		260	DS881.8 .P4
5597	Allen Ginsberg in America /	Kramer, Jane,		Random House,		221	PS3513.I74 Z7
4802	I'm OK, you're OK : a practical guide to transactional analysis /	Harris, Thomas A.1910-1995.(Thomas Anthony),		Harper &amp; Row, Publishers,		297	RC480.5 .H32
7714	New essays on religious language /			Oxford University Press,		255	BL65.L2 H53 1969
4431	The war in the air: the Royal Air Force in World War II /			William Morrow &amp; Company,		453	D786 .L93 1969
